artist,asin,media,review_count,star_rating,title,year,genre
Faktion,B000E97HAI,Audio CD,165,4.6,Faktion,2006,alternative metal
Various Artists,B000063208,"Audio CD,MP3 Music",165,4.6,Spider-Man: Music From And Inspired By,2002,alternative metal
Various,B00007FPKG,Audio CD,161,4.6,We're A Happy Family - A Tribute To The Ramones,2003,alternative metal
Running Wild,B07XLCT4GP,"Audio CD,MP3 Music,Vinyl",161,4.6,Crossing The Blades,2019,alternative metal
Maylene and the Sons of Disaster,B000N3AVXA,"Audio CD,MP3 Music,Vinyl",45,4.7,II,2007,alternative metal
Earth Crisis,B000000IEF,"Vinyl,MP3 Music,Audio CD",45,4.7,Destroy the Machines,2012,alternative metal
Sebadoh,B007IOCVJO,"MP3 Music,Audio CD",45,4.7,Harmacy,1996,alternative metal
Grave,B001MIDN30,"Audio CD,Audio CD,Vinyl",45,4.7,You'll Never See...,1992,alternative metal
Fear Factory,B0002ZYDYM,"Audio CD,Paperback",161,4.6,Soul of a New Machine,2004,alternative metal
Corrosion Of Conformity,B0007X9UJC,"Audio CD,MP3 Music,Vinyl",160,4.6,In The Arms Of God,2008,alternative metal
Kreator,B001HY3BFO,"Audio CD,MP3 Music,Vinyl",159,4.6,Hordes of Chaos,2009,alternative metal
Soulfly,B0074DXT22,"Vinyl,MP3 Music,Audio CD",159,4.6,Enslaved,2012,alternative metal
Seeyouspacecowboy,B09H4VFKJD,"Vinyl,MP3 Music,Audio CD",26,4.8,The Romance of Affliction,2021,alternative metal
Demon Hunter,B0001Z36P0,"Audio CD,MP3 Music",157,4.6,Summer of Darkness,2004,alternative metal
Powerman 5000,B08BTPN5S9,"Audio CD,MP3 Music,Vinyl",156,4.6,The Noble Rot,2020,alternative metal
Mindless Self Indulgence,B0016AK3DW,"Audio CD,MP3 Music,Vinyl",156,4.6,If,2008,alternative metal
Ancient,B09BGKJKXV,"Vinyl,MP3 Music,Audio CD",26,4.8,Svartalvheim,2021,alternative metal
Agoraphobic Nosebleed,B001T1CMUK,"Audio CD,MP3 Music,Vinyl",26,4.8,Agorapocalypse,2009,alternative metal
Betty Blowtorch,B000095J25,"Audio CD,MP3 Music",26,4.8,Last Call,2008,alternative metal
Sevendust,B000B8QF6O,"Audio CD,MP3 Music,Vinyl",155,4.6,Next EX-DLX,2005,alternative metal
Vast,B00004XPTI,"Audio CD,MP3 Music,Vinyl",154,4.6,Music for People,2000,alternative metal
Monster Magnet,B00018QIVQ,Audio CD,154,4.6,Monolithic Baby Bonus,2004,alternative metal
TV on the Radio,B009D4PKH2,"MP3 Music,Audio CD",154,4.6,Dear Science (Original 2 Vinyl Set),2008,alternative metal
Fuel,B0000062H0,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",151,4.6,Sunburn,1998,alternative metal
Lucifer,B09DLF3X2M,"Audio CD,MP3 Music,Vinyl",150,4.6,Lucifer IV,2021,alternative metal
Chimaira,B000092PTT,Audio CD,44,4.7,Impossiblity of Reason,2003,alternative metal
Wizard,B08QR4YY12,"Audio CD,MP3 Music,Vinyl",44,4.7,Metal In My Head,2021,alternative metal
Trapt,B000AMPYZ4,"Audio CD,MP3 Music",149,4.6,Someone In Control,2005,alternative metal
