"artist","asin","media","review_count","star_rating","title","year","genre"
"WAR","B00U2RPLL4","Vinyl","1","5","War 45 RPM BEETLES IN THE BOG / THE CISCO KID",1972,"black metal"
"Nachtmystium","B00VAWT4O0","MP3 Music,Audio CD","17","4.8","Silencing Machine",2012,"black metal"
"EMPYRIUM","B00VFZWTYE","Vinyl,MP3 Music,Audio CD","29","4.7","A Wintersunset",2019,"black metal"
"Negura Bunget","B00VI80J0Y","Vinyl,MP3 Music,Audio CD","8","4.5","Tau",2015,"black metal"
"Twilight Fauna","B00VMSIII0","MP3 Music","2","5","Twilight Fauna - Hymns of a Forgotten Homeland",2014,"black metal"
"Blaze of Perdition","B00WVR1NLK","Audio CD,MP3 Music,Vinyl","2","5","Near Death Revelations",2015,"black metal"
"SIGH","B00WZBJJJK","Audio CD,MP3 Music,Vinyl","25","4.6","Graveword",2015,"black metal"
"Cradle Of Filth","B00Y9Y07BA","Audio CD,MP3 Music,Vinyl","372","4.8","Hammer Of Phils",2015,"black metal"
"Blut Aus Nord","B00YFZ5GMI","Audio CD","17","4.7","Memoria Vetusta III: Saturnian Poetry",2014,"black metal"
"Black Capricorn","B00Z8CCJV8","Audio CD,Vinyl","1","5","Cult Of Black Friars",2017,"black metal"
"Violet Cold","B0106US8HK","Audio CD,MP3 Music","2","5","Desperate Dreams",2015,"black metal"
"Shining","B0131PIDRW","Vinyl,MP3 Music,Audio CD","17","4.4","International Blackjazz Society",2015,"black metal"
"Tsjuder","B013HD8DY6","Audio Cassette,MP3 Music,Audio CD,Vinyl","30","4.9","Antiliv",2015,"black metal"
"Krieg","B014WACH8Q","Audio, Cassette,MP3 Music,Audio CD","3","3","BLUE MIASMA",2015,"black metal"
"Cryptopsy","B0178S84BI","Vinyl,MP3 Music,Audio CD","239","4.8","None So Vile",2022,"black metal"
"Mutiilation","B017DZAFNQ","Audio CD,MP3 Music,Audio CD","20","4.9","Mutiilation: Vampires Of Black Imperial Blood",1995,"black metal"
"Mutiilation","B017DZMZIO","Audio CD,MP3 Music","2","4.5","Mutiilation: Hail Satanas We Are The Black Legions [EP]",1994,"black metal"
"Abigor","B019B92NVO","Audio CD,Audio CD","1","5","Opus IV",2008,"black metal"
"Violet Cold","B01AX7IK1U","Audio CD,MP3 Music","5","5","Magic Night",2016,"black metal"
"RAGNAROK","B01B2964AC","Audio CD,MP3 Music,Vinyl","6","4.4","Psychopathology",2016,"black metal"
"Occult","B01B4HRIEI","Vinyl,MP3 Music,Audio CD","6","5","Enemy Within",2016,"black metal"
"Sear Bliss","B01B4HRIJS","Vinyl,MP3 Music,Audio CD","2","5","Eternal Recurrence",2016,"black metal"
"Sepultura","B01BG8MJM6","Audio CD,MP3 Music","311","4.7","Morbid Visions / Bestial Devastation",2014,"black metal"
"Katatonia","B01DLSXTJ6","Audio CD,MP3 Music,Vinyl","308","4.8","Fall Of Hearts W/Booklet",2016,"black metal"
"Cryptopsy","B01E4WMNG8","Audio CD,MP3 Music,Vinyl","38","4.8","Book Of Suffering: Tome 1",2016,"black metal"
"Ancient","B01E5V85L0","Audio Cassette,MP3 Music,Audio CD","8","4.3","The Halls Of Eternity",1999,"black metal"
"Ihsahn","B01EHA6C0A","Audio CD","2","5","Arkti",2016,"black metal"
"Wayfarer","B01EMP3UMI","Vinyl,MP3 Music,Audio CD","6","5","Old Souls",2016,"black metal"
"SOLEFALD","B01F10KROW","Vinyl","1","5","Jernlov",2020,"black metal"
"Woods of Ypres","B01FDL89OO","Audio CD,MP3 Music,Vinyl","137","4.7","Woods 5: Grey Skies & Electric Light",2012,"black metal"
"Woods of Ypres","B01FDL8BI8","Audio CD,MP3 Music,Vinyl","33","4.7","Pursuit of the Sun & Allure of the Earth",2014,"black metal"
"MHOENOS","B01FSVKFJ6","Audio CD","2","5","Miserere Nostri",2016,"black metal"
"Cryptopsy","B01GPY2US4","Vinyl,MP3 Music,Audio CD","79","4.6","Blasphemy Made Flesh",2022,"black metal"
"Inpestae","B01GQGZN5S","Audio CD","1","3","Cold & Dead",2016,"black metal"
"Equilibrium","B01HENWI8C","Audio CD","3","4.6","Armageddon Bonus Booklet One Pressing Only",2016,"black metal"
"TENEBROSA,TERRA","B01HFPDTIW","Vinyl,Audio CD","9","4.9","Purging",2016,"black metal"
"Inquisition","B01HRDH2MG","Audio Cassette,Audio CD,Vinyl","49","4.9","Bloodshed Across The Empyrean Altar Beyond The Celestial Zenith",2016,"black metal"
"Sodom","B01I4Q0UBU","Audio CD,MP3 Music,Vinyl","209","4.7","Decision Day: Live At Montreux Limited/Bonus Track/Bonus",2016,"black metal"
"Sargeist","B01JRJC1MO","Audio, Cassette,MP3 Music,Audio CD","22","4.8","Disciple of the Heinous Path",2016,"black metal"
"Sargeist","B01JRJC1MY","Audio, Cassette,MP3 Music,Audio CD","35","4.7","Satanic Black Devotion",2016,"black metal"
"Secrets of the Moon","B01KBI3F66","Audio CD","3","3.5","The Church by Krieg",2001,"black metal"
"ASHBRINGER","B01LPZSO2Y","Vinyl,MP3 Music,Audio CD","1","5","Vacant",2016,"black metal"
"NRIII","B01LTHOXOG","Audio CD,MP3 Music","1","5","Solus Patior",2011,"black metal"
"Countess","B01LWQNDKE","Audio CD","1","5","Gospel of the Horned One",2017,"black metal"
"Underoath","B01LX2D88T","Audio CD,MP3 Music,Audio CD","47","4.7","Act of Depression CD (Original Press)",1999,"black metal"
"Craving","B01LYOEAIJ","Audio CD,MP3 Music","8","4.5","By The Storm-Ltd.Boxse",2016,"black metal"
"KARG","B01LZ8L0OZ","Audio CD,MP3 Music,Vinyl","12","4.7","Weltenasche",2016,"black metal"
"HARAKIRI FOR THE SKY","B01M0IJ5KV","Audio CD,MP3 Music,Vinyl","34","4.9","Harakiri For The Sky",2016,"black metal"
"Watain","B01M2YSJFR","Vinyl,Audio CD","1","5","Wild Hunt / Wolf Wear",2016,"black metal"
"Wolfchant","B01M9JIT9G","Audio CD,MP3 Music","7","4.8","Bloodwinter / Ltd.Box",2017,"black metal"
"Katavasia","B01MDNRZRV","Audio CD,Vinyl","1","5","Sacrilegious Testament",2016,"black metal"
"NAZGUL","B01MRHREBX","Vinyl,MP3 Music","4","5","De Expugnatione Elfmuth",2017,"black metal"
"Vietah","B01MV4V1R6","Vinyl,MP3 Music","1","5","Czornaja Cvii",2017,"black metal"
"FAEULNIS","B01MZCYYYZ","Vinyl,Audio CD","1","5","Antikult",2017,"black metal"
"Desaster","B01N4IYAU2","Audio CD,MP3 Music,Audio CD","20","4.7","666 - Satan's Soldiers Syndicate",2017,"black metal"
"HARAKIRI FOR THE SKY","B01N7VO76I","Vinyl,MP3 Music,Audio CD","62","4.8","Aokigahara",2017,"black metal"
"Vintersorg","B06XBGRQ28","Vinyl,MP3 Music,Audio CD","12","4.6","Till Fjalls LP",2014,"black metal"
"Solstafir","B06XGJD65V","Audio, Cassette,MP3 Music,Audio CD,Vinyl","136","4.8","Berdreyminn Ltd. Ed.",2017,"black metal"
"Wormwitch","B06XKWPZV6","Vinyl,MP3 Music,Audio CD","12","4.4","Strike Mortal Soil Lightning Bolt Blue w/ Black Specks",2017,"black metal"
