"artist","asin","media","review_count","star_rating","title","year","genre"
"All That Remains","B001DZDU2G","Audio CD,MP3 Music,Vinyl","226","4.7","Overcome",2008,"death metal"
"Cradle Of Filth","B001E18C8G","Audio CD,MP3 Music","177","4.7","Godspeed On The Devil's Thunder",2008,"death metal"
"The Haunted","B001E7OO0U","Audio CD,Vinyl","24","4.6","Versus",2012,"death metal"
"In Flames","B001EG4T24","Audio CD","34","4.6","Jester Race: Reloaded",2009,"death metal"
"Sonata Arctica","B001EO38KU","Audio CD","12","5","Wolf and Raven",2001,"death metal"
"Agoraphobic Nosebleed","B001ESYAD0","Audio CD,MP3 Music,Vinyl","39","4.5","Altered States of America",2008,"death metal"
"Dimmu Borgir","B001ESYAN0","Audio CD","8","5","Invaluable Darkness: Live",2013,"death metal"
"Between the Buried and Me","B001ET8GNY","Audio CD,MP3 Music,Vinyl","71","4.6","Colors Live",2008,"death metal"
"Satyricon","B001F14TUU","Audio CD,MP3 Music,Vinyl","103","4.6","The Age Of Nero",2008,"death metal"
"Sylosis","B001F4T934","Audio CD","62","4.7","Conclusion of An Age",2009,"death metal"
"Watain","B001F4YH5O","Audio CD,MP3 Music,Vinyl,Audio, Cassette","58","4.7","CASUS LUCIFERI",2012,"death metal"
"Watain","B001F4YH5Y","Audio CD,MP3 Music,Vinyl,Audio, Cassette","42","4.7","Rabid Death's Curse",2012,"death metal"
"Enslaved","B001FBSLSQ","Audio CD,MP3 Music,Vinyl","53","4.8","ELD",2016,"death metal"
"Patti Rothberg","B001FM8Z86","Audio CD,MP3 Music,Audio, Cassette","33","4.7","Between Human and Divine",1996,"death metal"
"Winterfylleth","B001FN4EQ2","Audio CD,MP3 Music,Vinyl","24","4.6","Ghost of Heritage",2008,"death metal"
"Behemoth","B001FWVKRE","Audio CD","18","5","At The Arena Ov Aion",2016,"death metal"
"Bring Me the Horizon","B001FZ0A4K","Audio CD,MP3 Music,Vinyl","414","4.7","Suicide Season",2008,"death metal"
"Swallow the Sun","B001G1FL24","Audio CD,MP3 Music,Vinyl","57","4.8","Hope",2008,"death metal"
"Six Feet Under","B001G4C9OY","Audio CD,MP3 Music,Vinyl","45","4.6","Death Rituals",2008,"death metal"
"Moonspell","B001G55F6M","Audio CD","16","4.9","Lusitanian Metal",2008,"death metal"
"Arch Enemy","B001G55F9O","Audio CD,MP3 Music","22","4.9","ARCH ENEMY TYRANTS OF THE RISING SUN - JAPAN",2011,"death metal"
"Enslaved","B001G5ZNHI","Audio CD,MP3 Music,Vinyl","93","4.7","Vertebrae",2012,"death metal"
"Enslaved","B001G5ZNJG","Audio CD,Paperback","61","4.8","Frost",2012,"death metal"
"Unleashed","B001G5ZNKU","Audio CD,MP3 Music,Audio CD,Vinyl","8","5","Viking Raids - The Best Of Unleashed",2012,"death metal"
"Nachtmystium","B001G5ZNPA","Vinyl,MP3 Music,Audio CD","37","4.7","Assassins: Black Meddle Pt. 1",2008,"death metal"
"Beneath the Massacre","B001G7EGH4","Audio CD,MP3 Music","25","4.7","Dystopia",2008,"death metal"
"Christ Inversion","B001G7EGR4","Audio CD,MP3 Music","17","4.6","Christ Inversion",2008,"death metal"
"Legion of the Damned","B001GAD76M","Audio CD,MP3 Music","16","4.6","Cult of the Dead",2009,"death metal"
"Bloodbath","B001GF5KEO","Audio CD,MP3 Music,Vinyl","163","4.7","Resurrection Through Carnage",2008,"death metal"
"Light This City","B001GJ30TM","Audio CD,MP3 Music","12","5","Stormchaser",2008,"death metal"
"Grave Digger","B001GM4AOS","Audio CD,MP3 Music","11","5","Pray",2009,"death metal"
"Septic Flesh","B001GM728Y","Audio CD","82","4.8","Communion",2008,"death metal"
"The Faceless","B001H1OUY8","Audio CD,MP3 Music","91","4.7","Planetary Duality",2008,"death metal"
"Behemoth","B001H37FDE","Audio CD,MP3 Music,Vinyl","19","4.9","Ezkaton",2008,"death metal"
"Nasum","B001H37FF2","Audio CD,MP3 Music","29","4.8","Grind Finale",2008,"death metal"
"Incubus","B001HMHK5I","Audio CD,MP3 Music,Vinyl","51","4.6","Serpent Temptation",2009,"death metal"
"Opprobrium","B001HMHK62","Audio CD,MP3 Music,Vinyl","30","4.9","Beyond the Unknown",2009,"death metal"
"Unleashed","B001IJD88I","Audio CD,MP3 Music,Vinyl","22","4.5","Victory",2013,"death metal"
"Pentagram","B001ILDEAS","Audio CD,MP3 Music,Vinyl","31","4.5","SUB-BASEMENT",2012,"death metal"
"Devil's Blood","B001INZ7AQ","Audio CD,MP3 Music,Audio CD,Vinyl","19","4.7","Come Reap",2008,"death metal"
"Marduk","B001J8DUXQ","Audio CD,MP3 Music","72","4.6","La Grande Danse Macabre",2013,"death metal"
"Sepultura","B001K2KHLY","Audio CD,MP3 Music,Vinyl","91","4.5","A-LEX",2009,"death metal"
