artist,asin,media,review_count,star_rating,title,year
Amon Amarth,B0B2TY77WW,"Audio CD,Vinyl",689,4.7,The Great Heathen Army,2022
Slayer,B00BEWCJ84,"Audio CD,MP3 Music,Vinyl",698,4.7,Christ Illusion,2013
Ozzy Osbourne,B00005QG9G,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",696,4.7,Down To Earth,2001
Uriah Heep,B0002ADY10,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",693,4.7,Look at Yourself,2005
Journey,B0015XM77U,"Audio CD,MP3 Music,Audio, Cassette",687,4.7,Trial By Fire,2008
Lou Reed,B00004RD54,"Audio CD,Vinyl,Audio, Cassette",687,4.7,Rock 'n' Roll Animal,2000
Humble Pie,B000002GKT,"Audio CD,Vinyl",682,4.7,Humble Pie performance: Rockin' the Fillmore,1990
Foreigner,B000063NDY,"Audio CD,MP3 Music,Vinyl,Audio DVD,Audio, Cassette",675,4.7,4 Expanded 2002,2002
Bon Jovi,B000001FYL,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",680,4.7,"Blaze Of Glory: Songs Written And Performed By Jon Bon Jovi, Inspired By The Film Young Guns II",1990
Slaughter,B00009RDEB,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",679,4.7,Stick It To Ya,2003
Robert Plant,B000HWZ5W4,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",678,4.7,The Principle of Moments,2007
Saint Asonia,B07X5R7KV9,"Audio CD,MP3 Music,Vinyl",677,4.7,Flawed Design,2019
Slayer,B00BEWCIJY,"Audio CD,MP3 Music,Vinyl",682,4.7,World Painted Blood,2013
Machine Head,B00N8XWHDE,"Audio CD,MP3 Music,Vinyl",681,4.7,Bloodstone & Diamonds,2014
Judas Priest,B08Q6RVY5P,"Vinyl,MP3 Music,Audio CD,Audio, Cassette",678,4.7,"Rocka Rolla Translucent Grape with Opaque White, Black Splatter",2021
Eric Clapton,B000002MTU,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",682,4.7,From the Cradle,1994
Mark Knopfler,B00006L3SV,"Audio CD,MP3 Music,Vinyl",681,4.7,Ragpicker's Dream,2009
Jazmine Sullivan,B00L8F6LX6,"Audio CD,MP3 Music",675,4.7,Reality Show,2015
Skid Row,B00000DGUM,Audio CD,680,4.7,40 Seasons: The Best Of Skid Row,1998
Slayer,B00EFFW0IG,"Vinyl,MP3 Music,Audio CD",682,4.7,World Painted Blood [LP],2013
Firehouse,B0012GMUPY,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",670,4.7,Firehouse,2008
Sepultura,B000000H5K,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",677,4.7,Roots,1996
Megadeth,B00005EBQE,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",668,4.7,The World Needs A Hero,2008
Slade,B000BOG1K8,Audio CD,675,4.7,Very Best of,2005
The Mars Volta,B0007GAEW6,"Audio CD,MP3 Music,Vinyl",669,4.7,Frances The Mute,2005
Dream Theater,B00005UEAR,"Audio CD,MP3 Music,Vinyl",667,4.7,Six Degrees Of Inner Turbulence,2002
Black Sabbath,B002702OPU,"Audio CD,Vinyl,Audio, Cassette",668,4.7,Greatest Hits,2009
Insane Clown Posse,B00000057M,"Audio CD,MP3 Music",669,4.7,Riddle Box,1995
Various Artists,B000002L1W,"Audio, Cassette,MP3 Music,Audio CD,Vinyl",674,4.7,Dazed & Confused,1993
Kiss,B00000AF98,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",669,4.7,Crazy Nights,1998
Steve Vai,B00AMB7VBI,"Vinyl,MP3 Music,Audio CD,Audio, Cassette",669,4.7,Passion & Warfare,2014
Korn,B005V1WVPA,"Audio CD,MP3 Music,Vinyl",663,4.7,The Path of Totality,2011
Avenged Sevenfold,B0000AGWJ7,"Audio CD,MP3 Music,Vinyl",665,4.7,WAKING THE FALLEN,2016
Bon Jovi,B000001EGM,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",667,4.7,These Days,1995
Opeth,B074HG44VK,"Audio CD,MP3 Music,Vinyl",665,4.7,Still Life,2017
Stone Sour,B00FAAVP7C,"Vinyl,MP3 Music,Audio CD",662,4.7,House Of Gold and Bones Part 2,2013
Dimmu Borgir,B07B12HXJ8,"Audio CD,MP3 Music,Vinyl",664,4.7,Eonian,2018
Sons of Apollo,B07SZBK3JD,Audio CD,663,4.7,Sons Of Apollo - Live With The Plovdiv Psychotic Symphony in Slipc,2019
Rainbow,B000GW8RX4,"DVD,Audio CD",666,4.7,Rainbow: Live in Munich 1977,
Rainbow,B000FIHJLK,"Audio CD,Audio CD",666,4.7,Live In Munich 1977,2008
David Lee Roth,B000002L9W,"Audio CD,Audio CD",656,4.7,Eat 'Em And Smile,1990
Nickelback,B00008ADPF,"Audio CD,MP3 Music,Vinyl",659,4.7,The Long Road,2003
Jethro Tull,B00005NTJL,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",663,4.7,Stand Up 2001,2001
Carcass,B08GFRZC6H,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",661,4.7,Despicable,2020
Santana,B0000062FN,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",657,4.7,Santana III,1998
AC/DC,B000091KP1,"Vinyl,MP3 Music,Audio CD,Audio, Cassette",661,4.7,Fly On The Wall,
Jethro Tull,B000008H22,"Audio CD,MP3 Music,Vinyl",658,4.7,Too Old to Rock N Roll: Too Young to Die,2000
J. Geils Band,B000EHQ800,Audio CD,652,4.7,Best Of The J. Geils Band,2006
Peter Frampton,B08TSCYSXK,"Audio CD,MP3 Music,Vinyl",649,4.7,Peter Frampton Forgets The Words,2021
Aerosmith,B000000OTU,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",652,4.7,Big Ones,1994
Europe,B00005OCEX,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",650,4.7,The Final Countdown,2011
Rise Against,B072J28PBN,"Vinyl,MP3 Music,Audio CD,Audio, Cassette",652,4.7,Wolves Magenta,2021
Exodus,B000003C2Q,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",647,4.7,Fabulous Disaster,1989
Shinedown,B000B5KRTI,"Audio CD,MP3 Music",652,4.7,Us and Them,2005
Jethro Tull,B07J35TG38,"Vinyl,Audio CD",645,4.7,Aqualung Steven Wilson Mix,2018
Accept,B00KRYKHMU,"Audio CD,Vinyl",651,4.7,Blind Rage,2014
Soundgarden,B000001EZU,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",648,4.7,A-Sides,1997
Korn,B07DV8WT6S,"Vinyl,Audio CD",642,4.7,Follow The Leader,2018
Atlanta Rhythm Section,B000051Y37,"Audio CD,MP3 Music",642,4.7,20th Century Masters: The Millennium Collection - The Best of Atlanta Rhythm Section,2000
Linkin Park,B000PUAZEG,Audio CD,638,4.7,Minutes to Midnight,2008
Bad Company,B000002JSH,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",635,4.7,Straight Shooter,1994
Anthrax,B005D6T0OS,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",644,4.7,Worship Music,2012
Accept,B071FRSBF4,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",639,4.7,The Rise Of Chaos,2017
Staind,B0000942LT,"Audio CD,MP3 Music,Audio DVD,Audio, Cassette",643,4.7,14 Shades of Grey,2003
Bon Jovi,B00004TQX0,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",640,4.7,Crush,2000
Amaranthe,B00B9GCWFU,"Audio CD,MP3 Music",641,4.7,The Nexus,2013
Anthrax,B09JDQHN24,"Vinyl,MP3 Music,Audio CD,Audio, Cassette",644,4.7,Worship Music - Exclusive Limited Edition Yellow & Blue Twist Colored Vinyl LP (Only 250 Copies Pressed Worldwide),
John Debney,B000002BGR,"Audio CD,MP3 Music,Vinyl",640,4.7,From Dusk Till Dawn: Music From The Motion Picture,1996
Tom Petty,B000002O1P,"Audio CD,Audio CD",637,4.7,Southern Accents,1985
Megadeth,B0002EXH4U,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",630,4.7,Cryptic Writings,2004
Lynyrd Skynyrd,B00000ADJX,"Audio CD,MP3 Music,Audio, Cassette",633,4.7,The Essential Lynyrd Skynyrd SET,1998
Saxon,B077TK2BH5,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",635,4.7,Thunderbolt,2018
Stevie Ray Vaughan,B00000268O,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",636,4.7,Live Alive,1987
Cheap Trick,B00000284D,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",633,4.7,Cheap Trick - The Greatest Hits,1991
Anthrax,B089M435X7,"Audio CD,Vinyl",635,4.7,Persistence of Time,2020
Airbourne,B00BXVKKOQ,"Audio CD,Audio CD",636,4.7,Black Dog Barking,2013
Bullet for My Valentine,B096TJP6H8,"Audio CD,MP3 Music,Vinyl",636,4.7,Bullet For My Valentine,2021
AC/DC,B0000CDLL5,"Vinyl,MP3 Music,Audio CD,Audio, Cassette",632,4.7,Flick of the Switch,2009
Led Zeppelin,B000002JEV,"Audio CD,Vinyl,Audio, Cassette",627,4.7,BBC Sessions,1997
Black Sabbath,B00382X4WI,"Audio CD,Audio CD",627,4.7,Live Evil,2010
Various Artists,B00005NQIM,"Audio CD,MP3 Music",629,4.7,Rock Star,2001
Rainbow,B00008NGHT,"Audio CD,MP3 Music",633,4.7,Catch the Rainbow: The Anthology,2003
Eleine,B07886HD1C,"Audio CD,Vinyl",61,4.8,Until the End,2018
Plasmatics,B000051XYZ,"Audio CD,MP3 Music,Vinyl",61,4.8,Wow,2000
Cannabis Corpse,B072ZP1QXQ,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",61,4.8,Left Hand Pass,2017
Comeback Kid,B09KN7WPZ1,"Vinyl,MP3 Music,Audio CD",61,4.8,Heavy Steps white,2022
GAZETTE,B0144MF8GK,Audio CD,61,4.8,Dogma,2015
Vader,B0059DOJ50,"Audio CD,MP3 Music,Vinyl",61,4.8,Welcome To The Morbid Reich,2012
Forndom,B017UFT86O,"Audio CD,MP3 Music,Vinyl",61,4.8,Dauora Dura,2016
Gwar,B08FBQVF27,Vinyl,61,4.8,Scumdogs of the Universe 30th Anniversary RED MARBLE,2020
Marduk,B000026QYA,"Audio CD,MP3 Music,Vinyl",61,4.8,Heaven Shall Burn When We Are Gathered,2007
Primal Fear,B000056AQG,"Audio CD,Vinyl",61,4.8,Nuclear Fire,2001
Allegaeon,B003OAA2E2,"Audio CD,MP3 Music",61,4.8,Fragments of Form and Function,2010
Enslaved,B001G5ZNJG,"Audio CD,Paperback",61,4.8,Frost,2012
FM,B00NLVS1JC,"Vinyl,MP3 Music,Audio CD",61,4.8,Black Noise,2014
Entombed,B00QG15QM4,"Audio CD,MP3 Music,Vinyl",61,4.8,Uprising,2018
Aborted,B00IYSP5O6,"Audio CD,MP3 Music,Vinyl",61,4.8,Necrotic Manifesto,2014
Bon Jovi,B000PDZHV4,"Audio CD,MP3 Music,Vinyl",629,4.7,Lost Highway,2007
Rush,B0002NRQU2,"Audio CD,Audio CD",619,4.7,Roll the Bones 2004,2004
Bring Me the Horizon,B00BMEF6IO,"Audio CD,MP3 Music,Vinyl",619,4.7,Sempiternal,2013
Marillion,B083W9LTZF,"Audio CD,MP3 Music,Vinyl,Blu-ray Audio,Audio, Cassette",621,4.7,Afraid Of Sunlight 2019 Michael Hunter Remix,2020
Kiss,B00000AF96,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",617,4.7,Asylum Remastered,1998
Stone Temple Pilots,B000021XR5,"Audio CD,MP3 Music",618,4.7,No. 4,1999
David Bowie,B00064AEOC,DVD,618,4.7,A Reality Tour,
Iron Maiden,B006Z21ZEM,"Audio CD,MP3 Music,Vinyl",619,4.7,En Vivo!,2012
AC/DC,B0007R083A,"DVD,Audio DVD",617,4.7,AC/DC - Family Jewels,", et al."
Tom Petty,B0000072VI,Audio CD,618,4.7,Tom Petty - Greatest Hits Germany Bonus Track,1999
Mr. Bungle,B000002LPW,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",621,4.7,Mr. Bungle,1991
Killswitch Engage,B00B5JBZGS,"Audio CD,MP3 Music,Vinyl",619,4.7,Disarm The Descent,2013
Scorpions,B00006WKY9,"Audio CD,Audio CD",622,4.7,Taken by Force,2002
Thin Lizzy,B004ZJADO0,"Audio CD,MP3 Music,Vinyl",618,4.7,Black Rose,2011
Neil Young,B000002KCC,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",611,4.7,Tonight's the Night,1990
Alice Cooper,B000005S5R,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",611,4.7,From the Inside,1998
Skid Row,B000002IQW,Audio CD,613,4.7,Slave to the Grind,1991
Linkin Park,B001HOJMOI,"Audio CD,MP3 Music,Vinyl",616,4.7,Road To Revolution Live At Milton Keynes,2008
Thin Lizzy,B0000074FN,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",611,4.7,Thunder & Lightning ger,1999
Body Count,B01ND1VS9U,"Audio CD,MP3 Music,Vinyl",611,4.7,Bloodlust,2017
Testament,B0089LT8Y6,"Audio CD,Vinyl",609,4.7,Dark Roots of Earth,2012
Gazette,B010HIH4TO,"Audio CD,MP3 Music",32,4.9,Dim,2015
GBH,B00005YUAH,"Audio CD,Vinyl,Audio, Cassette",32,4.9,City Baby's Revenge,2021
Oversense,B098VP4D6K,"Audio CD,MP3 Music",32,4.9,Egomania,2021
Devin Townsend Project,B00F2HW1TY,Audio CD,32,4.9,Retinal Circus,2013
Metallica,B00013VAN2,"Audio CD,Vinyl",32,4.9,Unnamed Feeling,2004
God Dethroned,B001T1CMTQ,"Audio CD,MP3 Music",32,4.9,Passiondale,2009
Murder City Devils,B000003BNJ,"Vinyl,MP3 Music,Audio CD",32,4.9,The Murder City Devils,1997
Voices,B000008M1W,"Audio CD,Audio, Cassette",32,4.9,Just the Beginning,1992
Child's Play,B000008E79,"Audio CD,MP3 Music,Audio, Cassette",32,4.9,Rat Race,1990
Within Temptation,B07JZRR757,Audio CD,32,4.9,Resist XL T-Shirt,2019
Jimi Hendrix,B00004WN64,"Vinyl,Audio CD",608,4.7,Are You Experienced?,2008
AC/DC,B004LV1MZG,"Audio CD,Sheet music",604,4.7,Bonfire Box,2013
Sweet,B00000DQX6,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",608,4.7,Desolation Boulevard,1990
Manowar,B00CJCQ26I,"Audio CD,MP3 Music",607,4.7,Warriors of the World,2013
David Bowie,B000000WCX,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",610,4.7,Earthling,1997
Godsmack,B00LQ6TM88,"Audio CD,MP3 Music,Vinyl",1099,4.7,1000HP,2014
The Darkness,B0000AZKM0,"Audio CD,MP3 Music,Vinyl",1088,4.7,Permission to Land,2003
Rainbow,B00000IMTE,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",1074,4.7,Ritchie Blackmore's Rainbow ORIGINAL RECORDING REMASTERED,1999
Pearl Jam,B0014YVCDK,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",1066,4.7,Binaural,2008
Dream Theater,B0000CDLA7,"Audio CD,MP3 Music,Vinyl",1069,4.7,Train Of Thought,2003
Dream Theater,B000002JPA,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",1067,4.7,Images and Words,1992
Black Crowes,B000009QP2,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",1061,4.7,Shake Your Money Maker,1990
Jeff Beck,B00005AREQ,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",1044,4.7,Blow By Blow,2001
The Rolling Stones,B001WCN21Y,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",1050,4.7,It's Only Rock 'N Roll,2009
The Clash,B00004C4L3,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",1052,4.7,Combat Rock,2000
Van Halen,B000002LEM,"Audio CD,Audio CD",1045,4.7,OU812,1990
Rainbow,B00000IMTH,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",1042,4.7,Long Live Rock `n' Roll Remastered,1999
Neil Young,B000002KDG,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",1053,4.7,Rust Never Sleeps,1990
Rod Stewart,B001DMJAMI,"Audio CD,MP3 Music",1050,4.7,The Definitive Rod Stewart,2008
Weezer,B085RS9PQV,"Vinyl,MP3 Music,Audio CD",1036,4.7,Van Weezer,2021
ZZ Top,B0001ZXM54,"Audio CD,MP3 Music",1042,4.7,Rancho Texicano: The Very Best of ZZ Top,2004
Chris Cornell,B00001QGL2,"Audio CD,Audio CD",610,4.7,Euphoria Morning,1999
Matchbox Twenty,B000222YPU,"Audio CD,MP3 Music",606,4.7,More Than You Think You Are,
Grand Funk Railroad,B00006GA48,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",599,4.7,Closer To Home,2002
New York Dolls,B000001FMX,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",601,4.7,New York Dolls,1990
The Rolling Stones,B000024IHT,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",600,4.7,THE SINGLES IMPORTADO,2004
Now That's What I Call Music,B00006LLQ0,Audio CD,600,4.7,Now That's What I Call Music! 11,2002
Amorphis,B09MGKN6N6,"Vinyl,MP3 Music,Audio CD",592,4.7,Halo,2022
Opeth,B07DTMTKB8,"Vinyl,MP3 Music,Audio CD",596,4.7,Watershed,2018
Stryper,B00008NRKP,Audio CD,598,4.7,7: The Best Of Stryper,2003
Styx,B000002GBB,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",591,4.7,Pieces Of Eight,1990
Bullet for My Valentine,B0038VPB5W,"Audio CD,Audio CD",597,4.7,Fever,2010
The Clash,B00004BZ09,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",596,4.7,Give 'em Enough Rope,2000
Motörhead,B0012GMXM4,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",595,4.7,March Or Die,2008
The Pretenders,B000002KO1,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",594,4.7,Pretenders,1990
Machine Head,B000000H6G,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",595,4.7,Burn My Eyes,1996
Styx,B0001ZMXDG,"Audio CD,Vinyl",598,4.7,Styx Gold,2006
In Flames,B01LWVGVEY,"Audio CD,MP3 Music,Vinyl",597,4.7,Battles,2016
Stephen Stills,B000002J6H,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",596,4.7,Stephen Stills,1996
Amaranthe,B00NALU8LW,"Audio CD,MP3 Music,Vinyl",594,4.7,MASSIVE ADDICTIVE,2014
Hawkwind,B00005MCX2,"Audio CD,MP3 Music,Vinyl",595,4.7,Space Ritual,2001
AC/DC,B002KREVCO,"Audio CD,MP3 Music,Vinyl",597,4.7,Backtracks,2009
Motörhead,B000025TZL,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",595,4.7,March or Die,2010
Kyuss,B00K7PB66U,"Vinyl,MP3 Music,Audio CD",591,4.7,Blues for the Red Sun,2014
Uriah Heep,B0002ADY0Q,"Audio CD,MP3 Music,Vinyl",589,4.7,Salisbury,2004
Bon Jovi,B000001DX6,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",589,4.7,Keep the Faith,1992
Alice Cooper,B005Q27F2S,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",587,4.7,Love It to Death,2011
Jeff Beck,B001GSV3EC,"Audio CD,MP3 Music,Vinyl",592,4.7,Performing This Week... Live At Ronnie Scott's,2008
The Doors,B000002H92,"Audio CD,Vinyl",585,4.7,In Concert,1991
Stone Sour,B003UNNAYW,"Audio CD,MP3 Music,Vinyl",588,4.7,Audio Secrecy,2010
A Day to Remember,B004L73FO6,"Vinyl,MP3 Music,Audio CD",592,4.7,What Separates Me From You,2013
Jethro Tull,B0000YB7ZI,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",589,4.7,Stormwatch,2004
Marillion,B000008I51,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",589,4.7,Script for a Jester's Tear,1999
Poison,B000FIMHJE,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",586,4.7,Look What The Cat Dragged In,2006
Yngwie Malmsteen,B000001FDQ,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",585,4.7,Rising Force,1990
The Clash,B000RLCJ5Q,"Audio CD,Vinyl,MiniDisc",585,4.7,The Singles,2007
Incubus,B000JBXXZ4,"Audio CD,MP3 Music,Vinyl",588,4.7,Light Grenades,2006
Dragonforce,B07TPYXSCL,"Audio CD,MP3 Music,Vinyl",585,4.7,Extreme Power Metal,2019
Allman Brothers Band,B000CDY8TO,"Audio CD,MP3 Music,Vinyl",586,4.7,"Fillmore East February, 1970",1997
The Rolling Stones,B00006AW2L,"Audio CD,MP3 Music,Vinyl",579,4.7,Aftermath,2002
Pantera,B0000C3I4A,"Audio CD,MP3 Music",583,4.7,The Best of Pantera: Far Beyond the Great Southern Cowboy's Vulgar Hits,2003
Lamb of God,B0061O73O0,"Audio CD,MP3 Music,Vinyl",575,4.7,Resolution,2012
Captain Beyond,B000003CMR,"Audio CD,Audio CD",577,4.7,Captain Beyond Remastered,1997
Various Artists,B001AUKV08,"Audio CD,MP3 Music",575,4.7,Nightmare Revisited,2008
Black Stone Cherry,B000G73U4K,"Audio CD,MP3 Music,Vinyl",576,4.7,Black Stone Cherry,2006
Sixx: A.M.,B01LZRJB7E,"Audio CD,MP3 Music,Vinyl",580,4.7,Prayers For The Blessed Vol 2,2016
Melvins,B000002IWU,"Audio CD,MP3 Music,Vinyl",577,4.7,Houdini,1993
The Rolling Stones,B002OT731E,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",578,4.7,Stripped,2009
Coheed and Cambria,B000AA302A,"Audio CD,MP3 Music",572,4.7,"Good Apollo, I'm Burning Star IV, Volume One: From Fear Through The Eyes of Madness",2005
Whitesnake,B000000OZ8,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",577,4.7,Slip of the Tongue,1996
Jethro Tull,B000008H24,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",572,4.7,War Child,1990
Black Crowes,B000062XAZ,"Audio CD,MP3 Music",569,4.7,Black Crowes - Greatest Hits 1990-1999: Tribute Work in Progress,2002
Eric Clapton,B000002LJW,"Audio CD,Audio CD",574,4.7,Journeyman,1989
The Who,B000002P2W,"Audio CD,MP3 Music,Vinyl",568,4.7,The Who By Numbers Remastered,1996
Bullet for My Valentine,B0010XTL0G,"Audio CD,MP3 Music,Vinyl",573,4.7,Scream Aim Fire,2008
Danger Danger,B0012GMWJ8,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",572,4.7,Danger Danger,2008
Styx,B000002GBW,"Audio CD,MP3 Music,Vinyl",570,4.7,Paradise Theatre,1990
Helloween,B000C4A1FI,"Audio CD,Vinyl",568,4.7,Wall of Jericho,2008
Queens Of The Stone Age,B00004TH6O,"Audio CD,MP3 Music",573,4.7,R,2000
Gary Moore,B00005TZJX,"Audio CD,MP3 Music",566,4.7,The Best Of The Blues,2002
Thin Lizzy,B000001FTA,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",571,4.7,Bad Reputation,1990
Aerosmith,B000INAXBK,"Audio CD,Audio CD",569,4.7,Devil's Got a New Disguise: The Very Best,2006
Bad Company,B000091KRQ,"Vinyl,MP3 Music,Audio CD,Audio, Cassette",571,4.7,10 from 6,1985
Anthrax,B000001FFR,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",563,4.7,Spreading The Disease,1990
Iron Maiden,B07YTCX3NY,"Audio CD,Vinyl",565,4.7,The Final Frontier,2019
Joe Satriani,B000025N63,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",569,4.7,Surfing With The Alien,1993
Soen,B08LNJKYMT,"Audio CD,MP3 Music,Vinyl",566,4.7,IMPERIAL,2021
Parkway Drive,B009B91VHW,"Vinyl,MP3 Music,Audio CD",568,4.7,Atlas,2012
The Rolling Stones,B0000DJYP8,"Vinyl,MP3 Music,Audio CD,Audio, Cassette",566,4.7,Get Yer Ya-Ya's Out!,2003
Motley Crue,B0192CL8K2,"Vinyl,MP3 Music,Audio CD",563,4.7,Shout at the Devil,2018
Five Finger Death Punch,B005IS56CG,"Audio CD,Vinyl",570,4.7,American Capitalist,2011
DevilDriver,B088VX3HTJ,"Audio CD,Vinyl",559,4.7,Dealing with Demons I,2022
Aerosmith,B0000029AW,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",561,4.7,Live! Bootleg,1993
Black Sabbath,B08GYTPQ3P,"Vinyl,Audio CD",560,4.7,Best of Black Sabbath Redux Black,2020
Lacuna Coil,B01DM343RC,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",559,4.7,Delirium,2016
Ozzy Osbourne,1573300411,"DVD,MP3 Music,Audio CD,Audio, Cassette",557,4.7,LIVE & LOUD,
Jane's Addiction,B000002LIX,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",558,4.7,Ritual De Lo Habitual,1990
Kiss,B000001ELB,"Audio CD,Vinyl,Audio, Cassette",555,4.7,Double Platinum Remastered,1997
Motörhead,B001G5SDRK,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",553,4.7,Iron Fist,2015
Bloodhound Gang,B004DKUTL8,"Audio CD,MP3 Music,Vinyl",555,4.7,Show Us Your Hits,2011
Amaranthe,B07G24KRTQ,"Audio CD,MP3 Music,Vinyl",558,4.7,HELIX,2018
Frank Zappa,B0000009SQ,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",556,4.7,Zoot Allures,1995
Anthrax,B000003T8M,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",553,4.7,FISTFUL OF METAL,2005
Sweet,B000002UQF,"Audio CD,MP3 Music",547,4.7,Best of Sweet,1993
Warrant,B0012GN1DY,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",551,4.7,Dirty Rotten Filthy Stinking Rich,2008
Venom,B00005V332,"Audio CD,MP3 Music,Vinyl",553,4.7,Black Metal,2008
Machine Head,B000N3ST9I,"Audio CD,Vinyl",551,4.7,The Blackening,2007
Chevelle,B00JRBGEU8,"Audio CD,MP3 Music",551,4.7,Vena Sera,2014
Nightwish,B007YLEN24,"Vinyl,Audio CD",549,4.7,Imaginaerum,2012
Blind Faith,B001A2ADFE,"Vinyl,Audio CD,Audio, Cassette",551,4.7,Blind Faith,2008
Dream Theater,B000002JKA,"Audio CD,MP3 Music,Vinyl",548,4.7,Awake,1994
Trivium,B07GVXD62H,"Vinyl,MP3 Music,Audio CD",547,4.7,In Waves,2018
Rush,B0002NRQUW,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",541,4.7,Test for Echo 2004,2004
Blotted Science,B000WS880E,"Audio CD,MP3 Music",60,4.8,The Machinations of Dementia,2007
Puddle of Mudd,B00005YW52,Audio CD,60,4.8,Come Clean,2003
Eric Clapton,B00006NSGX,"Audio CD,Vinyl,Audio, Cassette",543,4.7,"One More Car, One More Rider",2002
Nine Inch Nails,B0008E0DHS,"Audio CD,Vinyl",540,4.7,With Teeth,2005
Lamb of God,B003FN5ZHW,"Audio CD,MP3 Music",60,4.8,Hourglass - Volume II - The Epic Years,2010
Jackyl,B000000P1G,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",60,4.8,Push Comes to Shove,1997
J. Geils Band,B001BS4RCW,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",60,4.8,J. Geils Band,
Foreigner,B079PHKJFS,"Audio CD,MP3 Music,Vinyl",545,4.7,With the 21st Century Symphony Orchestra & Chorus,2018
Brand Of Sacrifice,B07G2D7QFC,"Audio CD,MP3 Music,Vinyl",60,4.8,The Interstice,2018
Black Star Riders,B00QWTPCII,"Audio CD,Vinyl",543,4.7,The Killer Instinct,2015
Horrendous,B07FVFQDZ1,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",60,4.8,Idol,2018
