artist,asin,media,review_count,star_rating,title,year
Papa Roach,B08MRQTBXD,"Audio CD,MP3 Music,Vinyl",468,4.8,Greatest Hits Vol. 2 The Better Noise Years,2021
Parkway Drive,B01MQYE0PZ,"Vinyl,MP3 Music,Audio CD",466,4.8,Horizons,2017
The Black Dahlia Murder,B084DG7PQ2,"Audio CD,MP3 Music,Vinyl",469,4.8,Verminous,2020
Allman Brothers Band,B0012GMUY0,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",469,4.8,Where It All Begins,2008
Over Kill,B000002IOY,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",464,4.8,The Years of Decay,1989
Tesla,B000000OSJ,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",465,4.8,Psychotic Supper,1991
Cradle Of Filth,B073LF8BWX,"Audio CD,MP3 Music,Vinyl",466,4.8,Cryptoriana: The Seductiveness Of Decay,2017
Clutch,B00JRKZM2A,"Vinyl,MP3 Music,Audio CD",466,4.8,Robot Hive/Exodus,2014
Jimi Hendrix,B00006GEWW,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",465,4.8,Smash Hits,2017
Queensrÿche,B0000931Q0,"Audio CD,MP3 Music,Vinyl",463,4.8,Queensryche,2003
Periphery,B09K1T8Y2G,"Audio CD,MP3 Music,Vinyl",461,4.8,Periphery IV: HAIL STAN,2021
The Cult,B002F3BP8Q,"Audio CD,MP3 Music",457,4.8,Love Expanded Edition,2009
IRON MAIDEN,B0863S9J8F,Audio CD,461,4.8,Live After Death Deluxe/Figurine,2020
Joan Jett & The Blackhearts,B000001L69,"Audio Cassette,Audio CD,Vinyl,Audio, Cassette",462,4.8,I Love Rock N' Roll,
Motörhead,B00SUFATEY,"Vinyl,MP3 Music,Audio CD,Audio DVD",459,4.8,Overkill,2015
Gloryhammer,B00B4JIV48,"Audio CD,MP3 Music",460,4.8,Tales From The Kingdom Of Fife,2013
Cheap Trick,B0012GMVSA,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",451,4.8,Heaven Tonight,2008
Testament,B000002IKR,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",456,4.8,The Legacy,1990
King Diamond,B086PRJM4D,"Vinyl,MP3 Music,Audio CD",455,4.8,Them,2022
Amaranthe,B08BLZVHXS,"Audio CD,MP3 Music,Vinyl",454,4.8,Manifest,2020
Ramones,B075JDNR5J,"Vinyl,MP3 Music,Audio CD,Audio, Cassette",454,4.8,Leave Home,2017
Morbid Angel,B07HGNRBSB,"Audio CD,MP3 Music,Vinyl",449,4.8,Blessed Are The Sick full Dynamic Range Remastered Audio,2019
Motörhead,B000294SFW,"Audio CD,MP3 Music,Vinyl",452,4.8,Inferno,2004
Sevendust,B07QHZN9CM,"Vinyl,MP3 Music,Audio CD",453,4.8,All I See Is War (Exclusive Limited Edition Red With Black Splatter Vinyl) [Condition-VG+NM],
In Flames,B089TV179C,"Audio CD,MP3 Music,Vinyl",449,4.8,Clayman,2020
Denzel Curry,B07S15W7SY,"Audio CD,MP3 Music,Vinyl",447,4.8,ZUU,2019
Black Star,B00000AEF2,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",449,4.8,Mos Def and Talib Kweli are Black Star, | 
Bad Omens,B09LLMNLCY,"Audio CD,MP3 Music,Vinyl",444,4.8,THE DEATH OF PEACE OF MIND,2022
Wind Rose,B07TMRSQYR,"Audio CD,Vinyl",445,4.8,Wintersaga,2022
W.A.S.P.,B0000075X2,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",443,4.8,Inside the Electric Circus,
Warlock,B000001FN1,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",444,4.8,Triumph & Agony,1990
ROTTING CHRIST,B07F9GMTQH,Audio CD,33,5,Under Our Black Cult,2018
Cheap Trick,B0012GMV2Q,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",440,4.8,In Color,2008
Soundgarden,B01NCWVLXF,"Audio CD,MP3 Music,Vinyl",436,4.8,Ultramega Ok,2017
Tremonti,B01CEWSY2M,"Audio CD,MP3 Music",439,4.8,Dust,2016
Prince,B000EXOA4K,Audio CD,439,4.8,Ultimate,2006
